model,fold,best_epoch,best_val_auc,best_val_score,best_threshold,best_val_mcc_threshold,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mcc,test_accuracy_opt,test_precision_opt,test_recall_opt,test_f1_opt,test_auc_opt,test_mcc_opt
ft_03,1,46,0.8602415026833632,0.9206986784317734,0.4700000000000001,0.623858528295775,0.8087431693989071,0.639344262295082,0.75,0.6902654867256637,0.868027011156782,0.5568792542524761,0.8087431693989071,0.6349206349206349,0.7692307692307693,0.6956521739130435,0.868027011156782,0.5635246650275383
ft_03,2,55,0.8507936507936508,0.9035375339587058,0.5000000000000001,0.5274388316505504,0.7650273224043715,0.5892857142857143,0.6226415094339622,0.6055045871559633,0.837155297532656,0.4387067650913461,0.7650273224043715,0.5892857142857143,0.6226415094339622,0.6055045871559633,0.837155297532656,0.4387067650913461
ft_03,3,46,0.8752834467120181,0.9254569349042787,0.44000000000000006,0.5220659311667285,0.8688524590163934,0.8536585365853658,0.660377358490566,0.7446808510638298,0.8946298984034833,0.668189962669651,0.8524590163934426,0.7708333333333334,0.6981132075471698,0.7326732673267327,0.8946298984034833,0.632608661618729
ft_03,4,43,0.8712018140589569,0.928509764952856,0.5000000000000001,0.5730795089389906,0.8032786885245902,0.6888888888888889,0.5849056603773585,0.6326530612244898,0.8426705370101596,0.502662396928977,0.8032786885245902,0.6888888888888889,0.5849056603773585,0.6326530612244898,0.8426705370101596,0.502662396928977
ft_03,5,43,0.8523809523809525,0.9106810129197163,0.5700000000000002,0.6059611201076213,0.819672131147541,0.6851851851851852,0.6981132075471698,0.6915887850467289,0.8571843251088533,0.5642405892972711,0.8142076502732241,0.7111111111111111,0.6037735849056604,0.6530612244897959,0.8571843251088533,0.5306390449332357
ft_04,1,1,0.6370751341681574,0.6424316197299089,0.5300000000000001,0.12870813992105132,0.7103825136612022,0.0,0.0,0.0,0.6416617733411627,-0.046701446249430435,0.7158469945355191,0.0,0.0,0.0,0.6416617733411627,0.0
ft_04,2,76,0.8623582766439909,0.9138921267322391,0.4800000000000001,0.5166666666666667,0.7923497267759563,0.7142857142857143,0.4716981132075472,0.5681818181818182,0.8367198838896952,0.45529660634341423,0.8032786885245902,0.7297297297297297,0.5094339622641509,0.6,0.8367198838896952,0.4884604027293367
ft_04,3,74,0.8841269841269841,0.939650044530754,0.5600000000000002,0.5619751376081858,0.8579234972677595,0.7647058823529411,0.7358490566037735,0.75,0.9037735849056604,0.6510495216896628,0.8579234972677595,0.7872340425531915,0.6981132075471698,0.74,0.9037735849056604,0.6449347454488874
ft_04,4,79,0.882766439909297,0.9402624656194245,0.4600000000000001,0.5863687105895892,0.819672131147541,0.7,0.660377358490566,0.6796116504854369,0.8336719883889695,0.5547400326404808,0.8032786885245902,0.660377358490566,0.660377358490566,0.660377358490566,0.8336719883889695,0.5219158200290276
ft_04,5,55,0.873015873015873,0.9310261578810535,0.5900000000000002,0.6192921178835777,0.819672131147541,0.6724137931034483,0.7358490566037735,0.7027027027027027,0.8550072568940494,0.5748680976216892,0.8087431693989071,0.6956521739130435,0.6037735849056604,0.6464646464646465,0.8550072568940494,0.5187083605454843
ft_05,1,71,0.8537567084078712,0.9113612133412237,0.5000000000000001,0.5760450493335241,0.7923497267759563,0.6,0.8076923076923077,0.6885245901639344,0.8818261890780974,0.5511887147024472,0.7923497267759563,0.6,0.8076923076923077,0.6885245901639344,0.8818261890780974,0.5511887147024472
ft_05,2,79,0.8501133786848073,0.8998436830415786,0.4,0.536970998793359,0.7868852459016393,0.6206896551724138,0.6792452830188679,0.6486486486486487,0.8343976777939043,0.4971908675960167,0.7814207650273224,0.6031746031746031,0.7169811320754716,0.6551724137931034,0.8343976777939043,0.5008847311080784
ft_05,3,1,0.6664399092970521,0.6850094431147573,0.4600000000000001,0.2834206639030978,0.7158469945355191,0.6666666666666666,0.03773584905660377,0.07142857142857142,0.7174165457184325,0.10731584624981298,0.73224043715847,0.5588235294117647,0.3584905660377358,0.4367816091954023,0.7174165457184325,0.28351275857771824
ft_05,4,78,0.85578231292517,0.9011802821501926,0.5600000000000002,0.4956900860591453,0.8306010928961749,0.8055555555555556,0.5471698113207547,0.651685393258427,0.8298984034833091,0.5629005018745443,0.8360655737704918,0.8285714285714286,0.5471698113207547,0.6590909090909091,0.8298984034833091,0.5778249577564213
ft_05,5,71,0.8634920634920634,0.920990954342058,0.5900000000000002,0.6059611201076213,0.8142076502732241,0.6862745098039216,0.660377358490566,0.6730769230769231,0.8632801161103049,0.5435690864445494,0.8142076502732241,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.8632801161103049,0.5269919501784617
ft_06,1,79,0.8653846153846154,0.9219643416463361,0.5500000000000002,0.6055456171735242,0.8142076502732241,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.8737522019964767,0.5603629189439372,0.8360655737704918,0.7291666666666666,0.6730769230769231,0.7,0.8737522019964767,0.588356895679329
ft_06,2,70,0.863265306122449,0.917285095899485,0.4600000000000001,0.5673566929377643,0.8032786885245902,0.6666666666666666,0.6415094339622641,0.6538461538461539,0.8525399129172714,0.516698977633271,0.7923497267759563,0.6363636363636364,0.660377358490566,0.6481481481481481,0.8525399129172714,0.5011058657270446
ft_06,3,75,0.8934240362811792,0.9523865783028816,0.4900000000000001,0.589625420217025,0.8524590163934426,0.782608695652174,0.6792452830188679,0.7272727272727273,0.8873730043541365,0.6297951130087068,0.8524590163934426,0.782608695652174,0.6792452830188679,0.7272727272727273,0.8873730043541365,0.6297951130087068
ft_06,4,77,0.8723356009070294,0.9296435518009285,0.5300000000000001,0.6,0.8306010928961749,0.75,0.6226415094339622,0.6804123711340206,0.8412191582002903,0.571056707083268,0.825136612021858,0.7560975609756098,0.5849056603773585,0.6595744680851063,0.8412191582002903,0.5526145721511764
ft_06,5,73,0.8777777777777778,0.9314748776571137,0.6000000000000002,0.6266257206773698,0.8142076502732241,0.6666666666666666,0.7169811320754716,0.6909090909090909,0.869811320754717,0.5591027585975287,0.819672131147541,0.7272727272727273,0.6037735849056604,0.6597938144329897,0.869811320754717,0.5428658850179219
ft_stable,1,77,0.7967352415026834,0.8421315287741354,0.4700000000000001,0.4740608228980322,0.8087431693989071,0.6666666666666666,0.6538461538461539,0.6601941747572816,0.8552554315913095,0.5271798993126131,0.8142076502732241,0.65,0.75,0.6964285714285714,0.8552554315913095,0.5665475048208821
ft_stable,2,80,0.8609977324263038,0.9123239093548848,0.41000000000000003,0.5229577884350213,0.8142076502732241,0.7021276595744681,0.6226415094339622,0.66,0.8648766328011611,0.534632821694545,0.7759562841530054,0.6,0.6792452830188679,0.6371681415929203,0.8648766328011611,0.4779272508959137
ft_stable,3,59,0.8907029478458051,0.9449166955006445,0.4900000000000001,0.5421374765483944,0.8415300546448088,0.7608695652173914,0.660377358490566,0.7070707070707071,0.888243831640058,0.6020234248929012,0.8415300546448088,0.75,0.6792452830188679,0.7128712871287128,0.888243831640058,0.6052210616480104
ft_stable,4,80,0.8201814058956916,0.8591459233215961,0.5700000000000002,0.45226701686664544,0.7814207650273224,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.7918722786647314,0.46879535558780844,0.7978142076502732,0.6666666666666666,0.6037735849056604,0.6336633663366337,0.7918722786647314,0.49567066176513613
ft_stable,5,1,0.6147392290249433,0.6277938272650756,0.4700000000000001,0.1860521018838127,0.7049180327868853,0.4,0.03773584905660377,0.06896551724137931,0.5259796806966618,0.040786530106685225,0.5956284153005464,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.5259796806966618,0.017271407837445574
