exp_name,top_k,pos_weight_scale,embed_dim,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,accuracy_mean,threshold_mean,f1_fixed_mean,recall_fixed_mean,precision_fixed_mean,accuracy_fixed_mean
exp_24_topk_12_pw_1.1_emb_96,12.0,1.1,96,0.8923851361083106,0.02554229975768139,0.5842462346320608,0.9962264150943396,0.4149036671359546,0.5846994535519124,0.11400000000000002,0.6873881630564558,0.8029753265602324,0.6043945528156055,0.7879781420765027
exp_12_topk_4_pw_1.1_emb_96,4.0,1.1,96,0.8908124397567002,0.031055149818359013,0.6502115393169052,0.870754716981132,0.5329342539515469,0.7191256830601093,0.084,0.7058129278456208,0.7459361393323658,0.6733318971419606,0.8207650273224043
exp_21_topk_12_pw_1.0_emb_64,12.0,1.0,64,0.8902247975271165,0.020022259315445667,0.6245056433670234,0.9468795355587808,0.47095294797580217,0.6622950819672131,0.084,0.7031216314796824,0.7537010159651669,0.6652992305135874,0.8163934426229508
exp_13_topk_8_pw_0.9_emb_64,8.0,0.9,64,0.8892357548831695,0.025188598970455743,0.6291955188991312,0.9281567489114659,0.48266260400796906,0.6775956284153006,0.074,0.713441000915467,0.765166908563135,0.6767245308639536,0.8229508196721312
exp_01_topk_None_pw_0.9_emb_64,,0.9,64,0.888528789372805,0.02175246287245802,0.6181447394335626,0.9658200290275761,0.45786826568156086,0.6459016393442623,0.11600000000000002,0.7065855114872158,0.7804063860667634,0.6474997279178094,0.8120218579234972
exp_14_topk_8_pw_0.9_emb_96,8.0,0.9,96,0.8874998615096554,0.021796673690056778,0.6366692332209574,0.9394049346879536,0.4835982829604829,0.6841530054644809,0.15000000000000002,0.6961704305074197,0.810522496371553,0.612050354966417,0.7956284153005464
exp_09_topk_4_pw_1.0_emb_64,4.0,1.0,64,0.886539070895977,0.026365637910647652,0.6692419403167437,0.9320029027576198,0.5248776307072074,0.7333333333333333,0.13199999999999998,0.7105663296927011,0.757910014513788,0.6762414358005826,0.8229508196721312
exp_15_topk_8_pw_1.0_emb_64,8.0,1.0,64,0.8865330881130967,0.025308591599243167,0.6012384364241534,0.9658925979680696,0.4388923906282397,0.6218579234972678,0.08800000000000001,0.7146089508886884,0.7576923076923077,0.6779613413094083,0.825136612021858
exp_20_topk_12_pw_0.9_emb_96,12.0,0.9,96,0.8864907654638319,0.02877201631222184,0.6445138448515559,0.9429608127721336,0.49157546851149253,0.6972677595628416,0.11600000000000002,0.677758326661148,0.7458635703918723,0.6250941764833787,0.7956284153005464
exp_17_topk_8_pw_1.1_emb_64,8.0,1.1,64,0.8860997795233716,0.02846340793003106,0.6102102866695084,0.9697387518142235,0.4501802347824496,0.6295081967213114,0.11400000000000002,0.7035156793925146,0.8103047895500725,0.625879796241242,0.8010928961748635
exp_11_topk_4_pw_1.1_emb_64,4.0,1.1,64,0.8857764876632801,0.02862286814618418,0.6100619695066706,0.9582728592162553,0.45243896201163586,0.6349726775956285,0.10800000000000001,0.7045529967819791,0.780478955007257,0.6483422191843244,0.8076502732240437
exp_10_topk_4_pw_1.0_emb_96,4.0,1.0,96,0.8855915753553664,0.02000655847450779,0.6316691864374409,0.9278664731494921,0.481337910726769,0.6841530054644809,0.11000000000000001,0.6715505755357409,0.7044267053701015,0.6517586366877147,0.8
exp_08_topk_4_pw_0.9_emb_96,4.0,0.9,96,0.8830421343023964,0.021587459405537197,0.6157105808420313,0.9391872278664731,0.4605470454159203,0.6579234972677596,0.09800000000000002,0.7104848178381372,0.7609579100145138,0.6728990184214065,0.8218579234972678
exp_07_topk_4_pw_0.9_emb_64,4.0,0.9,64,0.8796959859958564,0.025875645842653935,0.6411936867163653,0.9280841799709725,0.4917783607563974,0.6972677595628416,0.11400000000000002,0.698044454087925,0.7084905660377359,0.6928530985815162,0.8218579234972678
