model,model_display,fold,subgroup,n,AUC,F1,Sensitivity,Precision,MCC
xgboost,XGBoost,3,Tumor,52,0.8072916666666667,0.6,0.5625,0.6428571428571429,0.44078090117476104
xgboost,XGBoost,3,TBI,43,0.935960591133005,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.6741659355611274
xgboost,XGBoost,4,Overall,183,0.8545718432510886,0.6732673267326733,0.6415094339622641,0.7083333333333334,0.5504458617065733
xgboost,XGBoost,4,Hemorrhage,94,0.8062770562770563,0.6,0.5357142857142857,0.6818181818181818,0.4640790146587158
xgboost,XGBoost,4,Tumor,53,0.8716216216216216,0.7142857142857143,0.625,0.8333333333333334,0.6262868536285159
xgboost,XGBoost,4,TBI,32,0.7971014492753623,0.6,0.6666666666666666,0.5454545454545454,0.4252964776724258
xgboost,XGBoost,5,Overall,182,0.8473372781065089,0.6732673267326733,0.6538461538461539,0.6938775510204082,0.5484084971070818
xgboost,XGBoost,5,Hemorrhage,87,0.844516129032258,0.7083333333333334,0.68,0.7391304347826086,0.5984786697055849
xgboost,XGBoost,5,Tumor,70,0.8402777777777778,0.5,0.4375,0.5833333333333334,0.3842861859497323
xgboost,XGBoost,5,TBI,28,0.9848484848484849,0.8,1.0,0.6666666666666666,0.7587869106393281
gbdt,GBDT,1,Overall,183,0.8810921902524956,0.7010309278350515,0.6538461538461539,0.7555555555555555,0.5968599130535508
gbdt,GBDT,1,Hemorrhage,81,0.85,0.7,0.6666666666666666,0.7368421052631579,0.6032945767614236
gbdt,GBDT,1,Tumor,63,0.820861678004535,0.6666666666666666,0.5714285714285714,0.8,0.5533985905294664
gbdt,GBDT,1,TBI,35,0.9125874125874127,0.6956521739130435,0.6153846153846154,0.8,0.5609681940050744
gbdt,GBDT,2,Overall,183,0.8934687953555878,0.76,0.7169811320754716,0.8085106382978723,0.672510226387473
gbdt,GBDT,2,Hemorrhage,83,0.9150521609538003,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6289120715350224
gbdt,GBDT,2,Tumor,59,0.8075880758807589,0.6666666666666666,0.6111111111111112,0.7333333333333333,0.54304905375143
gbdt,GBDT,2,TBI,30,0.8842592592592593,0.8571428571428571,0.75,1.0,0.8017837257372731
gbdt,GBDT,3,Overall,183,0.8968069666182874,0.6956521739130435,0.6037735849056604,0.8205128205128205,0.6091180158008468
gbdt,GBDT,3,Hemorrhage,86,0.932795698924731,0.7441860465116279,0.6666666666666666,0.8421052631578947,0.668454975038434
gbdt,GBDT,3,Tumor,52,0.8333333333333333,0.6666666666666666,0.5625,0.8181818181818182,0.5729059580400802
gbdt,GBDT,3,TBI,43,0.9334975369458127,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.6741659355611274
gbdt,GBDT,4,Overall,183,0.8566037735849057,0.6808510638297872,0.6037735849056604,0.7804878048780488,0.581508419780795
gbdt,GBDT,4,Hemorrhage,94,0.8203463203463204,0.5909090909090909,0.4642857142857143,0.8125,0.5096625051255675
gbdt,GBDT,4,Tumor,53,0.8597972972972974,0.7142857142857143,0.625,0.8333333333333334,0.6262868536285159
gbdt,GBDT,4,TBI,32,0.821256038647343,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5362318840579711
gbdt,GBDT,5,Overall,182,0.874112426035503,0.6097560975609756,0.4807692307692308,0.8333333333333334,0.538536841659474
gbdt,GBDT,5,Hemorrhage,87,0.8767741935483871,0.6153846153846154,0.48,0.8571428571428571,0.5514017923621239
gbdt,GBDT,5,Tumor,70,0.886574074074074,0.43478260869565216,0.3125,0.7142857142857143,0.3855678298825373
